Regime,Model,TN,FP,FN,TP,FPR,FNR,Accuracy
TRTR,RandomForest,4276,12,23,4265,0.002798507462686567,0.005363805970149254,0.995918843283582
TRTR,LightGBM,4282,6,11,4277,0.0013992537313432835,0.0025652985074626866,0.9980177238805971
TRTR,XGBoost,4278,10,15,4273,0.0023320895522388058,0.003498134328358209,0.9970848880597015
TSTR,RandomForest,4269,19,24,4264,0.004430970149253731,0.005597014925373134,0.9949860074626866
TSTR,LightGBM,4278,10,26,4262,0.0023320895522388058,0.006063432835820896,0.9958022388059702
TSTR,XGBoost,4277,11,28,4260,0.0025652985074626866,0.0065298507462686565,0.9954524253731343
TRTS,RandomForest,3995,4,17,3982,0.001000250062515629,0.0042510627656914225,0.9973743435858965
TRTS,LightGBM,3996,3,11,3988,0.0007501875468867217,0.0027506876719179795,0.9982495623905977
TRTS,XGBoost,3996,3,11,3988,0.0007501875468867217,0.0027506876719179795,0.9982495623905977
