Regime,Model,TN,FP,FN,TP,FPR,FNR,Accuracy
TRTR,RandomForest,3755,5,3,3757,0.0013297872340425532,0.0007978723404255319,0.9989361702127659
TRTR,LightGBM,3757,3,2,3758,0.0007978723404255319,0.0005319148936170213,0.9993351063829787
TRTR,XGBoost,3754,6,2,3758,0.0015957446808510637,0.0005319148936170213,0.9989361702127659
TSTR,RandomForest,3736,24,2108,1652,0.006382978723404255,0.5606382978723404,0.7164893617021276
TSTR,LightGBM,3747,13,1891,1869,0.003457446808510638,0.5029255319148936,0.7468085106382979
TSTR,XGBoost,3737,23,2033,1727,0.006117021276595745,0.5406914893617021,0.7265957446808511
TRTS,RandomForest,2879,881,33,3727,0.23430851063829788,0.008776595744680852,0.8784574468085107
TRTS,LightGBM,2952,808,32,3728,0.2148936170212766,0.00851063829787234,0.8882978723404256
TRTS,XGBoost,2883,877,39,3721,0.23324468085106384,0.010372340425531914,0.8781914893617021
