Regime,Model,TN,FP,FN,TP,FPR,FNR,Accuracy
TRTR,RandomForest,21277,162,417,21022,0.0075563225896730256,0.019450534073417604,0.9864965716684547
TRTR,LightGBM,21395,44,368,21071,0.002052334530528476,0.017164979709874528,0.9903913428797985
TRTR,XGBoost,21348,91,362,21077,0.004244600960865712,0.016885115910257008,0.9894351415644387
TSTR,RandomForest,3738,22,1298,2462,0.005851063829787234,0.3452127659574468,0.824468085106383
TSTR,LightGBM,3757,3,1555,2205,0.0007978723404255319,0.41356382978723405,0.7928191489361702
TSTR,XGBoost,3749,11,1367,2393,0.002925531914893617,0.36356382978723406,0.8167553191489362
TRTS,RandomForest,3751,9,547,3213,0.0023936170212765957,0.14547872340425533,0.926063829787234
TRTS,LightGBM,3758,2,263,3497,0.0005319148936170213,0.0699468085106383,0.9647606382978723
TRTS,XGBoost,3754,6,381,3379,0.0015957446808510637,0.10132978723404255,0.9485372340425532
